q.no,question,answer,label,expected
1,What steps should you follow if you need to make a claim?,"Here are some important numbers you’ll need if you have an accident Need to claim? 0345 878 6261 Windscreen claims 0800 328 9150 If you have Essentials, Comprehensive or Comprehensive Plus cover Motor legal helpline 0345 246 2408 If you have Motor Legal Cover Help with anything else 0345 877 6680 Store these numbers in your phone so you have them available if needed. Even if you don’t make a claim on your car, it’s important to let us know about the accident as quickly as possible. This will enable us to contact the other party and resolve the entire claim, giving you the best service and keep the costs down.",1,1
2,"What does the ""FAQs"" section cover?","The ""FAQs"" section covers questions related to the policy, such as how much the policyholder will pay if their car is damaged, who is covered to drive other cars, and what is not included in the policy's coverage.",1,1
3,What must you do to maintain coverage for your automated car’s software?,You must keep the software of your automated car up to date and you must not modify it other than in accordance with any manufacturer’s instruction.,1,1
4,What are some of the exclusions for coverage under the automated car insurance policy?,"The exclusions for coverage under the automated car insurance policy include: Loss, damage or injury that takes place outside of Great Britain. Caused by your automated car driving itself at any time or place that the use of automated functions is unlawful.To the extent that an accident was caused or contributed to by any party suffering loss, damage or injury.To an insured person if the accident is caused by a failure to install safety critical updates to your automated car or its software has been altered without the approval of the manufacturer.To the person in charge of your automated car where the accident was wholly due to that person’s negligence in allowing your automated car to begin driving itself when it was not appropriate to do so.To property which an insured person owns or is responsible for.That’s covered by another insurance policy.That’s due to an act of terrorism as defined by the terrorism legislation applicable where the incident took place.To your automated car or trailer.To goods carriedfor hire or reward.",1,1
5,What is covered under the fire and theft section of the policy?,"If your car is stolen, damaged by an attempted theft, or damaged by fire.",1,1
6,How does the policy handle claims for stolen child car seats?,"If you have a child car seat fitted to your car and your car is damaged by fire or theft, or stolen and not recovered, we’ll arrange a replacement, or cover you for the cost of replacing the child car seat with a new one of a similar standard, even if there is no apparent damage. You may be required to provide proof of ownership as part of the claim.",1,1
7,What conditions must be met for the policy to cover in-car entertainment systems?,"The policy will cover in-car entertainment systems if they were permanently fitted in the car when it was made, or if they were permanently fitted in the car after it was made, as long as we haven't sent a payment to cover replacing the car.",1,1
8,What is required to contact the Financial Ombudsman Service (FOS) if a complaint is not resolved within 8 weeks?,NO ANSWER,0,1
9,What information should you provide when making a claim?,"Your personal details. Your policy number. Your car registration number. A description of the loss or damage. If you’ve been in an accident, the other driver’s details. Please have these handy when you get in touch.",1,1
10,What should you do if you receive a court notice or threat of legal action?,NO ANSWER,0,1
